ID_Equipo,Fecha,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Frecuencia de mantenimiento correctivo,ID_Registro,Temperatura_C,Vibracion_mm_s,Horas_Operativas,Tipo_Equipo,Potencia_kW,Horas_Recomendadas_Revision
191,1578038400.0,1,4207.79,31,12,508,117.16,2.99,97530.0,0,1915.0,6573
459,1578042000.0,0,8086.42,20,10,422,85.43,0.47,34836.0,0,3352.0,7649
369,1578045600.0,1,4812.4,14,14,103,75.54,4.3,43741.0,0,1671.0,8525
207,1578049200.0,1,8549.7,45,12,333,95.67,3.57,73779.0,2,182.0,904
454,1578052800.0,0,7306.56,46,12,1460,83.79,3.61,77842.0,3,1961.0,2754
309,1578056400.0,1,1668.76,18,9,630,70.51,2.39,4455.0,1,194.0,4061
139,1578060000.0,1,8621.85,35,7,210,68.25,3.93,22876.0,0,2683.0,2185
123,1578063600.0,0,8233.58,6,9,290,118.06,4.86,76090.0,1,3565.0,7238
263,1578067200.0,0,8559.25,18,9,875,60.68,4.09,93785.0,1,2565.0,9374
298,1578070800.0,0,6772.83,20,9,364,97.98,4.12,43864.0,3,1881.0,4891
360,1578074400.0,1,2811.68,37,11,33,123.62,2.34,21661.0,0,4932.0,2023
90,1578078000.0,0,3452.69,41,14,780,131.59,1.01,52605.0,3,907.0,5243
406,1578081600.0,1,7079.83,7,9,329,105.99,0.25,6343.0,2,2505.0,1688
308,1578085200.0,1,4135.57,46,12,309,66.77,4.83,88115.0,2,2184.0,8003
117,1578088800.0,0,2739.03,33,6,319,148.06,4.96,85231.0,2,2068.0,1824
12,1578092400.0,0,1990.8,22,11,277,118.31,1.29,29831.0,2,4733.0,3301
36,1578096000.0,0,7410.84,26,9,307,139.97,4.31,41114.0,2,4351.0,3549
382,1578099600.0,0,9106.16,32,8,265,95.67,3.32,5794.0,2,1965.0,1235
350,1578103200.0,1,4410.96,34,12,448,81.21,4.09,56219.0,3,968.0,2098
141,1578106800.0,0,1459.84,42,13,141,113.87,2.01,68941.0,2,4459.0,8434
75,1578110400.0,1,3591.48,47,9,187,55.58,3.45,59101.0,3,1129.0,6842
53,1578114000.0,0,8845.3,44,13,270,88.64,2.09,86769.0,1,3332.0,6373
285,1578117600.0,1,6675.82,14,12,524,74.29,4.77,70710.0,0,756.0,8274
161,1578121200.0,0,1880.66,33,13,732,103.35,3.9,37071.0,2,1706.0,4455
262,1578124800.0,0,9410.5,28,7,185,113.38,4.05,98719.0,0,4966.0,7411
2,1578128400.0,0,5276.15,12,14,82,129.66,0.54,83149.0,3,75.0,7390
274,1578132000.0,1,1454.1,42,12,951,57.59,3.19,59791.0,2,2600.0,2830
441,1578135600.0,1,4513.62,20,10,124,74.95,4.88,51929.0,3,4796.0,9453
30,1578139200.0,1,6706.68,29,10,569,62.15,3.22,33575.0,1,248.0,865
460,1578142800.0,1,2440.27,15,7,206,73.28,2.45,44356.0,2,1743.0,6195
26,1578146400.0,1,816.51,36,8,475,59.78,2.0,57221.0,1,7946.0,3605
325,1578150000.0,0,7491.37,39,12,838,148.37,2.79,90928.0,3,3158.0,3100
383,1578153600.0,0,2837.78,43,12,158,60.64,1.75,88092.0,1,1885.0,5439
228,1578157200.0,1,784.03,36,13,1172,75.57,0.83,61821.0,0,2569.0,5766
214,1578160800.0,1,4817.39,37,11,276,80.86,1.57,76798.0,3,2729.0,2209
156,1578164400.0,1,1720.51,20,12,540,78.72,2.15,54891.0,0,1568.0,6806
286,1578168000.0,0,9430.6,8,14,677,57.58,3.65,250.0,1,3432.0,8213
324,1578171600.0,0,8590.33,28,8,92,74.82,4.14,10659.0,1,2102.0,1681
296,1578175200.0,0,5423.41,15,8,131,104.25,1.55,74227.0,0,1192.0,6299
497,1578178800.0,1,5726.44,27,13,2078,116.3,1.52,55874.0,0,3296.0,8256
49,1578182400.0,0,776.16,42,14,253,71.28,2.31,57943.0,1,269.0,7647
86,1578186000.0,0,3713.29,33,15,91,115.27,2.15,98591.0,2,2519.0,1575
315,1578189600.0,1,3910.68,45,9,614,82.43,2.83,84748.0,2,954.0,5662
103,1578193200.0,1,9974.31,2,10,122,126.15,4.58,77604.0,2,1631.0,1616
17,1578196800.0,1,6299.91,17,6,904,123.53,1.17,75198.0,3,4310.0,8649
49,1578200400.0,0,2426.95,28,14,253,71.28,2.31,57943.0,1,269.0,7647
32,1578204000.0,0,6869.46,4,6,78,146.62,2.42,15455.0,1,3436.0,7039
71,1578207600.0,0,8113.73,26,12,314,146.53,1.94,28439.0,3,2617.0,8191
305,1578211200.0,1,8229.95,41,10,237,129.27,4.84,85363.0,3,3088.0,6845
387,1578214800.0,0,175.75,3,11,393,143.06,4.63,58159.0,0,1909.0,3043
139,1578218400.0,0,2009.5,30,7,210,68.25,3.93,22876.0,0,2683.0,2185
281,1578222000.0,0,4808.54,4,10,4,97.09,3.25,31744.0,1,529.0,7127
406,1578225600.0,0,1063.95,6,9,329,105.99,0.25,6343.0,2,2505.0,1688
254,1578229200.0,0,3448.16,16,11,998,67.15,1.84,8915.0,1,2796.0,1717
100,1578232800.0,1,3818.79,1,15,385,148.01,3.27,34257.0,0,7946.0,3160
152,1578236400.0,0,2882.48,28,12,110,59.77,3.08,11457.0,0,294.0,2236
446,1578240000.0,1,1680.93,38,5,142,72.64,0.11,71054.0,0,1095.0,1793
376,1578243600.0,0,9930.57,40,7,214,81.18,3.48,28976.0,3,899.0,3355
262,1578247200.0,1,9991.48,45,7,185,113.38,4.05,98719.0,0,4966.0,7411
131,1578250800.0,0,9208.93,43,10,29,111.99,1.65,90520.0,2,3935.0,6293
369,1578254400.0,1,9935.01,9,14,103,75.54,4.3,43741.0,0,1671.0,8525
147,1578258000.0,0,9817.89,19,7,451,121.59,4.1,91927.0,3,4868.0,9440
492,1578261600.0,1,8207.62,33,7,480,50.93,2.3,40622.0,0,4990.0,4462
465,1578265200.0,1,5008.37,6,7,248,103.31,3.66,68862.0,2,7946.0,9518
340,1578268800.0,1,427.96,32,11,76,85.04,2.04,78350.0,0,3000.0,1986
195,1578272400.0,1,1913.52,30,7,93,112.05,1.35,41278.0,3,540.0,8951
329,1578276000.0,0,2339.53,9,12,767,54.93,1.19,23410.0,0,4276.0,6583
251,1578279600.0,0,241.57,15,13,414,80.47,2.32,59015.0,3,2713.0,3142
43,1578283200.0,0,6671.08,6,10,348,124.89,4.38,78572.0,2,780.0,5264
384,1578286800.0,1,3742.17,46,12,4024,135.11,2.09,4845.0,1,1614.0,2364
261,1578290400.0,0,5621.87,43,6,562,79.15,4.12,52154.0,3,3674.0,8328
179,1578294000.0,1,9675.6,9,10,1794,106.29,0.91,97362.0,1,4059.0,9887
22,1578297600.0,1,3550.05,28,9,203,63.59,4.52,52556.0,2,1180.0,4134
39,1578301200.0,1,2463.0,23,7,457,109.12,4.17,96297.0,1,478.0,8144
449,1578304800.0,0,4760.21,20,6,17,106.33,1.57,39026.0,1,2395.0,8947
270,1578308400.0,1,9752.48,34,5,1680,113.21,1.2,28897.0,1,2825.0,1283
249,1578312000.0,1,8131.17,47,4,19,136.92,1.58,34813.0,0,3991.0,9920
200,1578315600.0,0,5009.56,43,8,372,53.31,2.52,62259.0,0,3572.0,6291
368,1578319200.0,1,5824.31,43,15,612,62.13,2.21,58389.0,1,633.0,8203
226,1578322800.0,1,7849.95,5,11,42,132.62,1.93,28520.0,0,605.0,3503
280,1578326400.0,0,9865.56,3,11,9,63.39,2.78,79244.0,3,2539.0,9026
185,1578330000.0,0,9580.12,34,12,46,121.04,0.16,89849.0,0,215.0,3803
229,1578333600.0,1,3146.02,2,7,1079,114.18,4.29,51538.0,1,3905.0,4079
145,1578337200.0,1,9519.44,16,11,598,96.61,1.67,84238.0,2,7946.0,8722
100,1578340800.0,1,388.73,17,15,385,148.01,3.27,34257.0,0,7946.0,3160
19,1578344400.0,1,6079.31,4,9,155,69.11,1.77,69351.0,3,2175.0,828
498,1578348000.0,1,9595.89,47,10,123,130.07,0.37,53524.0,1,4231.0,9047
43,1578351600.0,1,4790.67,32,10,348,124.89,4.38,78572.0,2,780.0,5264
368,1578355200.0,0,4881.33,14,15,612,62.13,2.21,58389.0,1,633.0,8203
351,1578358800.0,1,398.36,38,12,114,54.82,2.8,25778.0,1,4387.0,665
357,1578362400.0,1,7102.2,37,4,71,85.57,3.44,9892.0,2,1895.0,4108
17,1578366000.0,1,1329.37,4,6,904,123.53,1.17,75198.0,3,4310.0,8649
255,1578369600.0,0,5940.68,23,10,547,127.48,0.84,61519.0,3,4850.0,1762
53,1578373200.0,0,9600.99,18,13,270,88.64,2.09,86769.0,1,3332.0,6373
108,1578376800.0,0,1011.02,21,8,105,102.52,3.4,95502.0,3,791.0,2011
428,1578380400.0,1,4535.82,5,8,200,94.82,4.0,2790.0,1,2895.0,3266
166,1578384000.0,1,9356.12,39,8,304,148.49,3.83,14734.0,3,275.0,7358
169,1578387600.0,1,1198.13,11,3,236,144.85,3.21,46970.0,0,233.0,3890
206,1578391200.0,0,9322.92,20,4,269,72.81,4.78,51504.0,1,4989.0,4729
366,1578394800.0,0,6967.26,44,12,156,125.75,4.98,98451.0,0,2678.0,9876
393,1578398400.0,1,4556.05,17,13,784,118.09,0.49,92888.0,0,2157.0,9328
225,1578402000.0,1,2021.63,27,9,181,136.44,0.98,32909.0,2,1484.0,1407
361,1578405600.0,0,6493.01,1,9,96,101.97,1.6,21763.0,2,3028.0,8369
314,1578409200.0,1,516.75,41,11,684,95.02,0.98,35357.0,3,3653.0,8467
420,1578412800.0,0,3070.25,23,16,691,60.49,1.11,51487.0,1,1536.0,1999
236,1578416400.0,0,3294.36,24,15,428,108.26,4.03,16734.0,3,100.0,7685
346,1578420000.0,0,3487.94,1,10,1441,62.69,3.15,80792.0,3,2072.0,1423
464,1578423600.0,1,1637.41,46,12,419,92.4,3.74,84390.0,1,4412.0,1491
12,1578427200.0,1,9171.74,30,11,277,118.31,1.29,29831.0,2,4733.0,3301
363,1578430800.0,1,6384.32,34,14,507,96.6,0.12,70425.0,2,163.0,1073
221,1578434400.0,0,8439.43,47,13,493,78.05,1.0,47905.0,3,4406.0,1237
357,1578438000.0,0,2282.61,1,4,71,85.57,3.44,9892.0,2,1895.0,4108
205,1578441600.0,1,7982.68,28,8,1359,80.69,0.24,99515.0,1,4134.0,8924
492,1578445200.0,0,8930.1,10,7,480,50.93,2.3,40622.0,0,4990.0,4462
78,1578448800.0,1,8122.66,45,10,356,118.58,1.43,71207.0,1,4194.0,7519
303,1578452400.0,1,4714.05,8,9,292,146.26,3.8,61348.0,0,3407.0,5079
481,1578456000.0,0,14987.245,20,7,1153,53.23,0.67,59349.0,3,1924.0,1963
397,1578459600.0,1,6099.13,47,8,772,120.37,2.42,65314.0,0,2707.0,5146
199,1578463200.0,0,9760.57,2,11,152,102.16,3.16,50348.0,2,742.0,4856
498,1578466800.0,1,3238.18,33,10,123,130.07,0.37,53524.0,1,4231.0,9047
350,1578470400.0,0,4559.66,36,12,448,81.21,4.09,56219.0,3,968.0,2098
151,1578474000.0,0,4556.69,43,7,8,113.15,2.11,90374.0,2,4152.0,3183
247,1578477600.0,1,7232.46,2,11,249,105.06,2.46,91036.0,2,2601.0,8640
345,1578481200.0,0,314.82,45,9,266,110.9,0.23,22343.0,0,3111.0,4591
119,1578484800.0,0,2020.05,5,8,1147,86.67,0.28,27022.0,1,2780.0,4535
147,1578488400.0,1,9307.19,2,7,451,121.59,4.1,91927.0,3,4868.0,9440
23,1578492000.0,0,7324.49,10,6,27,99.73,0.92,30431.0,0,3918.0,1988
172,1578495600.0,0,311.67,27,15,289,60.43,3.1,43241.0,0,4929.0,5941
11,1578499200.0,0,2651.16,19,11,537,66.31,4.86,14593.0,3,2374.0,2922
156,1578502800.0,1,2406.67,37,12,540,78.72,2.15,54891.0,0,1568.0,6806
250,1578506400.0,1,3733.41,24,8,321,77.15,3.79,45252.0,2,4517.0,7069
187,1578510000.0,0,225.57,46,11,515,123.66,2.97,82619.0,0,768.0,7515
38,1578513600.0,1,1010.95,9,5,1733,81.89,0.31,58984.0,2,7946.0,3190
406,1578517200.0,0,3874.57,36,9,329,105.99,0.25,6343.0,2,2505.0,1688
439,1578520800.0,1,5727.5,26,8,15,110.06,3.34,24251.0,2,4447.0,2041
15,1578524400.0,1,6248.36,12,6,204,149.62,1.25,91853.0,1,825.0,7850
47,1578528000.0,1,980.77,23,7,251,92.51,3.94,19283.0,2,1883.0,9004
133,1578531600.0,0,1618.02,42,6,167,92.88,2.26,99542.0,1,347.0,8833
496,1578535200.0,0,731.37,46,8,553,136.39,3.17,6283.0,3,544.0,3331
220,1578538800.0,1,1166.49,32,12,207,83.62,0.23,52234.0,0,4546.0,2061
95,1578542400.0,1,2899.47,36,9,1269,98.72,2.85,13620.0,3,1095.0,1294
373,1578546000.0,0,1700.31,29,15,313,83.23,3.53,76433.0,0,2074.0,6712
361,1578549600.0,0,6771.74,28,9,96,101.97,1.6,21763.0,2,3028.0,8369
342,1578553200.0,0,6754.21,39,13,654,80.6,3.81,8483.0,2,4223.0,1741
432,1578556800.0,1,1143.77,15,12,168,124.81,3.55,81946.0,1,2986.0,7395
232,1578560400.0,0,5134.28,5,14,184,125.68,4.3,60195.0,0,2576.0,5610
82,1578564000.0,1,7461.53,15,12,136,140.12,0.52,61018.0,1,3786.0,9495
157,1578567600.0,0,6195.3,37,15,135,75.92,1.79,10616.0,2,4523.0,3637
198,1578571200.0,1,2329.55,43,10,20,85.92,3.34,66313.0,2,946.0,6127
128,1578574800.0,1,4831.59,40,7,111,73.94,0.18,21595.0,2,3461.0,7529
429,1578578400.0,0,6725.47,24,5,138,126.94,2.96,46044.0,0,3119.0,1099
160,1578582000.0,1,3130.06,13,13,38,82.38,0.46,97342.0,2,2945.0,3638
110,1578585600.0,1,7036.04,31,8,296,79.44,4.94,82764.0,3,2838.0,5809
158,1578589200.0,0,5597.17,3,9,165,72.38,0.44,94305.0,1,4082.0,6958
465,1578592800.0,1,8332.02,35,7,248,103.31,3.66,68862.0,2,7946.0,9518
362,1578596400.0,1,7851.06,18,8,68,75.93,4.36,51676.0,3,4333.0,3246
103,1578600000.0,1,2305.82,30,10,216,114.1,3.36,2737.0,2,1631.0,1616
237,1578603600.0,1,5102.33,22,12,693,106.74,3.5,73352.0,3,3479.0,3874
96,1578607200.0,1,1457.2,38,13,383,63.92,3.4,75285.0,3,4004.0,1119
481,1578610800.0,1,2182.62,40,7,1153,53.23,0.67,59349.0,3,1924.0,1963
163,1578614400.0,1,6250.07,19,7,560,67.98,3.54,16854.0,1,1337.0,2989
266,1578618000.0,1,805.24,16,11,1007,148.28,3.43,7202.0,1,2363.0,5881
350,1578621600.0,1,8816.56,28,12,448,81.21,4.09,56219.0,3,968.0,2098
476,1578625200.0,0,5219.75,8,14,382,62.78,2.07,33831.0,0,1626.0,9660
448,1578628800.0,1,6144.67,17,13,919,102.17,0.83,53665.0,1,3877.0,7529
340,1578632400.0,0,2296.79,41,11,76,85.04,2.04,78350.0,0,3000.0,1986
392,1578636000.0,1,6125.55,14,16,139,144.1,1.22,37710.0,3,1307.0,9099
319,1578639600.0,1,3208.28,1,10,1360,54.75,0.37,8607.0,0,2824.0,4147
217,1578643200.0,0,5284.78,26,12,711,123.29,0.33,72708.0,0,4783.0,5133
415,1578650400.0,1,6765.18,45,11,323,80.84,2.42,56554.0,2,2000.0,7703
416,1578654000.0,0,9052.41,10,13,1319,78.69,0.53,96567.0,1,1900.0,9643
206,1578657600.0,1,3220.0,12,4,269,72.81,4.78,51504.0,1,4989.0,4729
350,1578661200.0,0,7786.86,2,12,448,81.21,4.09,56219.0,3,968.0,2098
236,1578664800.0,1,9820.18,16,15,428,108.26,4.03,16734.0,3,100.0,7685
82,1578668400.0,0,6802.48,34,12,136,140.12,0.52,61018.0,1,3786.0,9495
82,1578672000.0,0,7976.79,43,12,136,140.12,0.52,61018.0,1,3786.0,9495
257,1578675600.0,1,5990.85,20,7,143,68.39,1.27,82354.0,3,695.0,8247
142,1578679200.0,0,3128.25,37,10,522,123.3,1.12,40845.0,0,1652.0,8840
165,1578682800.0,0,2478.0,5,9,765,123.06,4.29,29132.0,3,1806.0,9335
242,1578686400.0,1,4922.86,37,4,1122,55.2,3.23,81948.0,3,1958.0,9066
119,1578690000.0,0,4554.89,22,8,1147,86.67,0.28,27022.0,1,2780.0,4535
372,1578693600.0,1,8680.24,20,13,442,120.92,3.01,98872.0,0,4925.0,7358
250,1578697200.0,1,5525.28,36,8,321,77.15,3.79,45252.0,2,4517.0,7069
410,1578700800.0,0,5989.86,41,12,157,100.63,0.74,46991.0,0,4265.0,5663
194,1578704400.0,1,2597.35,27,12,340,93.88,2.85,79051.0,2,4898.0,7838
274,1578708000.0,1,1767.73,26,12,951,57.59,3.19,59791.0,2,2600.0,2830
26,1578711600.0,1,5309.19,25,8,475,59.78,2.0,57221.0,1,7946.0,3605
196,1578715200.0,0,1520.9,39,13,710,75.95,1.78,52971.0,3,3710.0,6636
113,1578718800.0,1,230.35,4,9,1136,87.4,4.39,55785.0,0,216.0,5122
46,1578722400.0,0,2039.69,36,10,922,128.17,2.03,59238.0,3,3570.0,4326
215,1578726000.0,0,591.17,5,10,255,126.45,3.89,26199.0,2,-100.0,1243
424,1578729600.0,0,3215.2,20,11,86,71.22,1.09,52346.0,2,1380.0,4385
475,1578733200.0,1,3107.8,47,8,3662,134.35,0.75,19810.0,0,1865.0,1751
22,1578736800.0,0,2994.6,1,9,203,63.59,4.52,52556.0,2,1180.0,4134
221,1578740400.0,1,8503.31,30,13,493,78.05,1.0,47905.0,3,4406.0,1237
157,1578744000.0,1,7037.73,38,15,135,75.92,1.79,10616.0,2,4523.0,3637
52,1578747600.0,1,3305.24,6,8,554,51.49,3.69,85257.0,1,1144.0,6556
485,1578751200.0,0,1653.59,39,13,199,127.16,1.79,49870.0,2,4074.0,7154
230,1578754800.0,1,242.83,20,6,355,50.19,2.09,27836.0,2,4247.0,1751
412,1578758400.0,1,6376.94,23,10,733,66.16,0.22,89502.0,3,7946.0,1947
383,1578762000.0,0,1063.02,28,12,158,60.64,1.75,88092.0,1,1885.0,5439
155,1578765600.0,1,9357.47,31,11,291,103.04,4.7,38910.0,2,1652.0,3195
218,1578769200.0,0,1813.18,46,7,827,72.83,0.37,23388.0,3,3839.0,1771
106,1578772800.0,1,1315.3,43,8,320,52.46,1.74,90275.0,0,3095.0,2579
375,1578776400.0,0,6508.97,7,13,189,97.07,1.89,50204.0,0,4748.0,4649
88,1578780000.0,0,1769.26,24,7,1812,64.53,0.42,97173.0,3,1644.0,2727
141,1578783600.0,0,6610.54,30,13,342,105.8,2.07,31551.0,2,4459.0,8434
35,1578787200.0,0,6603.18,2,12,988,84.76,1.66,52604.0,2,2005.0,7168
43,1578790800.0,0,3584.01,2,10,348,124.89,4.38,78572.0,2,780.0,5264
246,1578794400.0,0,1161.12,45,12,195,65.33,0.64,61832.0,1,2067.0,9164
267,1578798000.0,0,7432.37,2,8,1095,126.39,3.54,44600.0,0,2471.0,7099
26,1578801600.0,1,8972.99,39,8,475,59.78,2.0,57221.0,1,7946.0,3605
283,1578805200.0,0,5057.39,32,8,284,140.93,1.92,24422.0,1,2647.0,7909
335,1578808800.0,1,1790.74,27,9,271,61.3,3.63,44125.0,1,4762.0,7944
9,1578812400.0,1,988.43,11,11,1370,138.34,2.69,16539.0,1,3960.0,9489
472,1578816000.0,0,8281.85,46,10,647,74.02,0.97,70630.0,1,4234.0,8912
307,1578819600.0,0,9079.88,27,13,640,116.22,3.85,30624.0,2,1584.0,4722
181,1578823200.0,0,4356.13,29,7,907,62.29,4.21,24273.0,3,2769.0,8223
250,1578826800.0,0,4112.74,14,8,321,77.15,3.79,45252.0,2,4517.0,7069
490,1578830400.0,1,7690.09,18,18,456,112.52,2.97,56113.0,3,3247.0,6735
384,1578834000.0,0,7489.01,45,12,4024,135.11,2.09,4845.0,1,1614.0,2364
277,1578837600.0,0,3628.99,28,16,534,62.94,3.93,75167.0,3,1396.0,8560
319,1578841200.0,0,8012.25,7,10,1360,54.75,0.37,8607.0,0,2824.0,4147
41,1578844800.0,1,8453.77,38,10,281,53.76,1.86,22009.0,3,1117.0,9988
341,1578848400.0,0,9382.68,37,13,435,115.09,1.38,3449.0,2,260.0,7954
341,1578852000.0,1,9761.47,23,13,435,115.09,1.38,3449.0,2,260.0,7954
131,1578855600.0,0,7302.38,18,10,380,121.01,1.82,94273.0,2,3935.0,6293
115,1578859200.0,1,1682.74,44,10,112,133.69,2.19,9008.0,2,1491.0,7305
180,1578862800.0,0,7863.61,28,14,788,143.61,0.87,18687.0,3,3385.0,8754
284,1578866400.0,1,949.37,18,8,884,50.41,0.71,63195.0,1,1333.0,6304
128,1578870000.0,0,5738.21,7,7,111,73.94,0.18,21595.0,2,3461.0,7529
85,1578873600.0,1,6111.93,32,5,273,122.55,3.23,79718.0,2,3062.0,3315
51,1578877200.0,1,3154.74,22,10,104,77.44,2.4,98646.0,1,2157.0,3183
71,1578880800.0,1,6944.28,31,12,314,146.53,1.94,28439.0,3,2617.0,8191
186,1578884400.0,1,2558.45,5,6,322,92.1,0.44,4290.0,2,4267.0,4383
377,1578888000.0,1,4985.69,8,8,589,64.97,1.73,18646.0,1,2106.0,3763
222,1578891600.0,0,9752.75,23,13,467,70.78,3.71,87911.0,2,4932.0,8281
12,1578895200.0,0,893.55,7,11,277,118.31,1.29,29831.0,2,4733.0,3301
226,1578898800.0,0,1393.21,22,11,42,132.62,1.93,28520.0,0,605.0,3503
386,1578902400.0,1,4875.15,5,11,346,68.89,3.48,4737.0,1,4192.0,9303
340,1578906000.0,0,7354.22,14,11,76,85.04,2.04,78350.0,0,3000.0,1986
24,1578909600.0,1,865.36,19,12,996,51.68,3.7,88957.0,3,4482.0,6699
337,1578913200.0,0,5703.08,11,9,318,136.47,0.15,74182.0,3,2109.0,8902
383,1578916800.0,1,8752.17,27,12,158,60.64,1.75,88092.0,1,1885.0,5439
82,1578920400.0,0,6514.55,23,12,136,140.12,0.52,61018.0,1,3786.0,9495
96,1578924000.0,1,9713.66,23,13,383,63.92,3.4,75285.0,3,4004.0,1119
96,1578927600.0,0,4840.07,17,13,383,63.92,3.4,75285.0,3,4004.0,1119
83,1578931200.0,1,9555.05,6,13,512,50.88,4.09,24356.0,0,506.0,9555
127,1578934800.0,1,7874.17,22,8,413,117.06,4.74,4871.0,0,1957.0,3472
277,1578938400.0,0,4424.0,15,16,534,62.94,3.93,75167.0,3,1396.0,8560
